Time,accX,accY,accZ
1583285586237,0.5232857,0.08510892,9.93278
1583285586287,0.51938283,0.09599177,9.941862
1583285586337,0.51943386,0.13006404,9.977452
1583285586387,0.5300345,0.08157038,9.926516
1583285586438,0.49182206,0.12753215,9.969728
1583285586487,0.5244265,0.105225995,9.958561
1583285586537,0.5253508,0.096004,9.932006
1583285586588,0.4904597,0.10844379,9.945876
1583285586638,0.5429815,0.113057695,9.951271
1583285586688,0.5145781,0.11963096,9.961256
1583285586737,0.5070198,0.098645695,9.946247
1583285586787,0.53941894,0.08584577,9.927335
1583285586838,0.5067181,0.12155715,9.967289
1583285586888,0.51365054,0.10357505,9.942374
1583285586938,0.518057,0.115651906,9.94851
1583285586988,0.5073496,0.107110135,9.934824
1583285587037,0.52383,0.1079815,9.944219
1583285587087,0.505093,0.1079815,9.956234
1583285587138,0.5159699,0.114254184,9.954833
1583285587187,0.51698107,0.0827544,9.9313
1583285587238,0.51844454,0.1220373,9.97274
1583285587287,0.526424,0.10201003,9.953795
1583285587338,0.5171964,0.10322437,9.947216
1583285587387,0.4974248,0.11019154,9.947721
1583285587437,0.54173976,0.10050919,9.94364
1583285587488,0.5129103,0.10831833,9.948531
1583285587537,0.5158999,0.10394926,9.966805
1583285587587,0.53167313,0.105434634,9.931028
1583285587637,0.5199968,0.09657678,9.9264
1583285587687,0.52018017,0.10686459,9.94741
1583285587737,0.51951003,0.11785805,9.983451
1583285587788,0.5362681,0.053586405,9.858492
1583285587837,0.50707304,0.13579686,10.000889
1583285587888,0.5284136,0.10536092,9.955072
1583285587938,0.5087759,0.07268549,9.891694
1583285587988,0.5443225,0.14153345,9.986883
1583285588037,0.49727342,0.09996662,9.961105
1583285588087,0.52445865,0.10671664,9.950289
1583285588137,0.53059316,0.095817775,9.948717
1583285588187,0.50923896,0.1146587,9.9588375
1583285588237,0.5224952,0.10208094,9.940684
1583285588287,0.5233423,0.10765198,9.940146
1583285588337,0.51905876,0.12285538,9.9623
1583285588388,0.5157339,0.11052185,9.944915
1583285588437,0.5285347,0.107148305,9.951247
1583285588487,0.5143431,0.1093283,9.942502
1583285588537,0.5240372,0.09661284,9.928006
1583285588587,0.5014277,0.10568547,9.951956
1583285588638,0.5286521,0.121515505,9.955043
1583285588687,0.52434266,0.10329847,9.9676075
1583285588738,0.5262282,0.11164578,9.960127
1583285588788,0.50865114,0.09396079,9.933144
1583285588838,0.52456635,0.11407438,9.958466
1583285588887,0.523157,0.1125355,9.95957
1583285588937,0.51540864,0.10424985,9.961562
1583285588988,0.5360766,0.10984293,9.970128
1583285589038,0.50813067,0.09087163,9.9345045
1583285589088,0.5291223,0.09695573,9.947966
1583285589138,0.5248345,0.090891674,9.959726
1583285589187,0.49749097,0.10407358,9.918231
1583285589238,0.5216297,0.11235088,9.958218
1583285589288,0.5300345,0.10064638,9.9500265
1583285589337,0.52619106,0.096924976,9.950508
1583285589388,0.52470905,0.105586,9.938786
1583285589438,0.51269746,0.107068025,9.957661
1583285589488,0.51417,0.106331766,9.951654
1583285589537,0.5126293,0.11296955,9.947604
1583285589587,0.5343224,0.10764609,9.958807
1583285589637,0.5175626,0.1031905,9.945826
1583285589687,0.5103225,0.107338004,9.943209
1583285589737,0.5244323,0.108387105,9.9782295
Time,accX,accY,accZ
1583285579788,0.5162793,0.09850794,9.951013
1583285579837,0.508475,0.1118356,9.956297
1583285579887,0.5412721,0.092965685,9.955734
1583285579938,0.50717425,0.110377,9.941279
1583285579987,0.52339137,0.110377,9.952824
1583285580038,0.52208495,0.110377,9.949926
1583285580087,0.51669455,0.108294666,9.943001
1583285580137,0.523437,0.11457896,9.948971
1583285580187,0.52673507,0.105857454,9.946577
1583285580238,0.5222209,0.102933414,9.942004
1583285580288,0.52680856,0.12677304,9.967245
1583285580338,0.5083124,0.0969958,9.943697
1583285580388,0.532531,0.11257049,9.95946
1583285580437,0.5190619,0.113236934,9.954121
1583285580487,0.5156615,0.109891586,9.940464
1583285580537,0.5191511,0.108710885,9.955288
1583285580587,0.5252435,0.10888415,9.945221
1583285580637,0.520505,0.10476998,9.945533
1583285580688,0.5289914,0.1187073,9.953726
1583285580737,0.5236484,0.10997822,9.95036
1583285580787,0.51868004,0.10596914,9.94338
1583285580837,0.5147801,0.11609912,9.964132
1583285580887,0.5264173,0.10680767,9.946864
1583285580938,0.507811,0.109280124,9.9534855
1583285580987,0.5177404,0.108931154,9.946442
1583285581037,0.515515,0.102440834,9.95225
1583285581087,0.50875956,0.12121636,9.947734
1583285581137,0.53488797,0.099861786,9.944241
1583285581187,0.5167518,0.103434235,9.95514
1583285581238,0.5077345,0.1061527,9.954178
1583285581288,0.52883613,0.107715204,9.949694
1583285581337,0.52142525,0.109878495,9.957197
1583285581388,0.5189064,0.10782871,9.958989
1583285581437,0.52115893,0.096004,9.942098
1583285581487,0.5158596,0.109782636,9.942275
1583285581537,0.51841915,0.120683305,9.958126
1583285581588,0.50863904,0.105586,9.944309
1583285581638,0.51814145,0.11764792,9.950024
1583285581687,0.504218,0.10838201,9.947432
1583285581737,0.52325547,0.115619585,9.955346
1583285581788,0.5135539,0.10654413,9.943524
1583285581837,0.5241402,0.12331583,9.972885
1583285581888,0.5136366,0.11768702,9.985462
1583285581938,0.53078985,0.115833946,9.98603
1583285581988,0.5263444,0.09380217,9.936455
1583285582038,0.53840816,0.098335765,9.94831
1583285582088,0.4822016,0.13186583,9.959133
1583285582137,0.5408377,0.08289915,9.951956
1583285582187,0.51328796,0.10527832,9.9351
1583285582238,0.50466526,0.06389089,9.822205
1583285582288,0.53683394,0.12545845,10.123629
1583285582337,0.5319466,0.12199886,9.950555
1583285582387,0.51869136,0.074871704,9.913628
1583285582438,0.53956354,0.13087116,9.9898205
1583285582488,0.47142297,0.09711148,9.933671
1583285582537,0.52418923,0.08479371,9.941493
1583285582587,0.5199268,0.109032944,9.965452
1583285582637,0.5072503,0.081375286,9.927489
1583285582688,0.52070326,0.09461157,9.95321
1583285582738,0.5168409,0.09460885,9.952778
1583285582788,0.53099406,0.08802887,9.932792
1583285582838,0.5053438,0.10811922,9.953522
1583285582887,0.5346573,0.090928145,9.94477
1583285582938,0.51655376,0.0888175,9.943877
1583285582987,0.52555525,0.10381402,9.961869
1583285583038,0.5131781,0.1043443,9.946124
1583285583087,0.5348255,0.084345445,9.954833
1583285583137,0.52926743,0.09198008,9.945153
1583285583187,0.525029,0.11147356,9.96329
1583285583237,0.527639,0.09415318,9.962607
1583285583288,0.5170367,0.09292828,9.910907
1583285583338,0.5089755,0.095450036,9.911519
1583285583387,0.5216285,0.102476195,9.951577
1583285583437,0.5148984,0.0943081,9.941844
1583285583488,0.5241945,0.09106269,9.954949
1583285583537,0.5385179,0.1031905,9.960322
1583285583587,0.52050054,0.09524553,9.94477
1583285583637,0.52005094,0.110965416,9.964521
1583285583688,0.5136292,0.10274082,9.963847
1583285583737,0.5168742,0.089832135,9.946066
1583285583788,0.52996,0.105809584,9.951108
1583285583837,0.5031238,0.103857905,9.936189
1583285583887,0.54864794,0.10016169,9.948486
1583285583938,0.50473195,0.10693356,9.949112
1583285583987,0.50773484,0.09730929,9.9374075
1583285584037,0.5265769,0.100396715,9.946501
1583285584088,0.52049714,0.092162274,9.950509
1583285584137,0.5077807,0.10249621,9.953269
1583285584187,0.5342452,0.096861556,9.931683
1583285584238,0.50707394,0.113049276,9.953781
1583285584288,0.5111689,0.100496635,9.958075
1583285584337,0.5222645,0.09039405,9.945936
1583285584387,0.51485837,0.11039804,9.962348
1583285584438,0.5242997,0.08446249,9.953089
1583285584487,0.5172197,0.108400136,9.956863
1583285584537,0.5194222,0.09806464,9.956412
1583285584587,0.516205,0.08979813,9.936711
1583285584637,0.5108705,0.10481263,9.928466
1583285584687,0.5131341,0.08525277,9.933811
1583285584737,0.522848,0.10291524,9.978663
1583285584788,0.522848,0.08390828,9.985306
1583285584837,0.5387724,0.12676753,10.02489
1583285584887,0.51614827,0.10741755,9.970402
1583285584937,0.5147769,0.08970212,9.935287
1583285584987,0.50747097,0.10890648,9.965633
1583285585038,0.5314584,0.06671734,9.885578
1583285585087,0.5219292,0.0632664,9.910155
1583285585138,0.5114267,0.09966853,9.955193
1583285585187,0.5193803,0.07932698,9.904321
1583285585237,0.50643885,0.08134349,9.924312
1583285585288,0.52922016,0.10956265,9.973212
1583285585338,0.52148414,0.089260526,9.951735
1583285585387,0.5304928,0.10023275,9.981244
1583285585437,0.5112155,0.11269584,9.9313545
1583285585488,0.5176142,0.084469326,9.945461
1583285585537,0.5155338,0.104196675,9.970567
1583285585587,0.53711885,0.099113256,9.950529
1583285585638,0.52049065,0.07926095,9.983008
1583285585687,0.52165884,0.12464724,9.974636
1583285585738,0.5252435,0.0840521,9.923005
1583285585787,0.5088819,0.09369381,9.922226
1583285585838,0.51344514,0.11238448,9.963606
1583285585888,0.5238126,0.084181935,9.935032
1583285585938,0.51949364,0.091213,9.942947
1583285585988,0.5252435,0.08380483,9.9271145
1583285586038,0.50873077,0.09897496,9.9248085
1583285586088,0.53148377,0.109888926,9.972356
1583285586137,0.54039234,0.101928785,9.972902
1583285586188,0.504854,0.1401971,9.984268
1583285586237,0.5232857,0.08510892,9.93278
1583285586287,0.51938283,0.09599177,9.941862
1583285586337,0.51943386,0.13006404,9.977452
1583285586387,0.5300345,0.08157038,9.926516
1583285586438,0.49182206,0.12753215,9.969728
1583285586487,0.5244265,0.105225995,9.958561
1583285586537,0.5253508,0.096004,9.932006
1583285586588,0.4904597,0.10844379,9.945876
1583285586638,0.5429815,0.113057695,9.951271
1583285586688,0.5145781,0.11963096,9.961256
1583285586737,0.5070198,0.098645695,9.946247
1583285586787,0.53941894,0.08584577,9.927335
1583285586838,0.5067181,0.12155715,9.967289
1583285586888,0.51365054,0.10357505,9.942374
1583285586938,0.518057,0.115651906,9.94851
1583285586988,0.5073496,0.107110135,9.934824
1583285587037,0.52383,0.1079815,9.944219
1583285587087,0.505093,0.1079815,9.956234
1583285587138,0.5159699,0.114254184,9.954833
1583285587187,0.51698107,0.0827544,9.9313
1583285587238,0.51844454,0.1220373,9.97274
1583285587287,0.526424,0.10201003,9.953795
1583285587338,0.5171964,0.10322437,9.947216
1583285587387,0.4974248,0.11019154,9.947721
1583285587437,0.54173976,0.10050919,9.94364
1583285587488,0.5129103,0.10831833,9.948531
1583285587537,0.5158999,0.10394926,9.966805
1583285587587,0.53167313,0.105434634,9.931028
1583285587637,0.5199968,0.09657678,9.9264
1583285587687,0.52018017,0.10686459,9.94741
1583285587737,0.51951003,0.11785805,9.983451
1583285587788,0.5362681,0.053586405,9.858492
1583285587837,0.50707304,0.13579686,10.000889
1583285587888,0.5284136,0.10536092,9.955072
1583285587938,0.5087759,0.07268549,9.891694
1583285587988,0.5443225,0.14153345,9.986883
1583285588037,0.49727342,0.09996662,9.961105
1583285588087,0.52445865,0.10671664,9.950289
1583285588137,0.53059316,0.095817775,9.948717
1583285588187,0.50923896,0.1146587,9.9588375
1583285588237,0.5224952,0.10208094,9.940684
1583285588287,0.5233423,0.10765198,9.940146
1583285588337,0.51905876,0.12285538,9.9623
1583285588388,0.5157339,0.11052185,9.944915
1583285588437,0.5285347,0.107148305,9.951247
1583285588487,0.5143431,0.1093283,9.942502
1583285588537,0.5240372,0.09661284,9.928006
1583285588587,0.5014277,0.10568547,9.951956
1583285588638,0.5286521,0.121515505,9.955043
1583285588687,0.52434266,0.10329847,9.9676075
1583285588738,0.5262282,0.11164578,9.960127
1583285588788,0.50865114,0.09396079,9.933144
1583285588838,0.52456635,0.11407438,9.958466
1583285588887,0.523157,0.1125355,9.95957
1583285588937,0.51540864,0.10424985,9.961562
1583285588988,0.5360766,0.10984293,9.970128
1583285589038,0.50813067,0.09087163,9.9345045
1583285589088,0.5291223,0.09695573,9.947966
1583285589138,0.5248345,0.090891674,9.959726
1583285589187,0.49749097,0.10407358,9.918231
1583285589238,0.5216297,0.11235088,9.958218
1583285589288,0.5300345,0.10064638,9.9500265
1583285589337,0.52619106,0.096924976,9.950508
1583285589388,0.52470905,0.105586,9.938786
1583285589438,0.51269746,0.107068025,9.957661
1583285589488,0.51417,0.106331766,9.951654
1583285589537,0.5126293,0.11296955,9.947604
1583285589587,0.5343224,0.10764609,9.958807
1583285589637,0.5175626,0.1031905,9.945826
1583285589687,0.5103225,0.107338004,9.943209
1583285589737,0.5244323,0.108387105,9.9782295
