Time,accX,accY,accZ
1583283354188,16.778982,22.005749,18.224388
1583283354237,24.838896,9.538956,21.632683
1583283354287,38.337334,-6.5087447,21.182922
1583283354337,36.429077,-25.780933,13.524502
1583283354387,18.626204,-33.781616,3.8544984
1583283354437,4.004691,-34.469524,-8.800232
1583283354487,1.6449928,-23.12069,-13.788048
1583283354538,7.5404334,-10.387529,-11.7912445
1583283354587,10.041369,2.786356,-9.12933
1583283354637,11.435849,7.256126,-7.2727
1583283354687,14.44114,5.5383134,-3.3387268
1583283354737,17.36164,8.568295,6.2386703
1583283354787,22.058855,15.563224,18.691475
1583283354838,29.799128,8.516045,25.535746
1583283354888,38.429935,-4.890325,22.41244
1583283354937,36.35591,-21.686874,13.007526
1583283354988,23.144888,-30.683167,3.572648
1583283355038,10.842643,-30.42979,-6.694644
1583283355087,4.1020784,-23.032948,-12.485207
1583283355137,7.447548,-12.589342,-11.740055
1583283355187,8.752686,-1.6700813,-9.231181
1583283355238,9.010253,5.625352,-9.574441
1583283355287,13.09337,5.3169365,-6.660347
1583283355338,20.856796,5.154657,2.2333717
1583283355387,21.282795,14.332719,12.149695
1583283355438,20.523798,13.406564,18.742025
1583283355488,27.90612,4.6334763,22.74237
1583283355538,36.236126,-11.76161,20.63161
1583283355587,26.600475,-24.737982,13.903443
1583283355637,13.836372,-27.061874,6.422887
1583283355687,6.2325735,-26.390587,-2.0357902
1583283355738,6.9414434,-17.535355,-6.0655227
1583283355787,10.620929,-6.6088724,-6.795923
1583283355838,9.243101,1.6566635,-7.108062
1583283355887,9.684345,1.3691478,-4.028795
1583283355937,12.745828,-1.6477778,0.23006773
1583283355988,13.632453,0.97381896,4.044915
1583283356038,12.061387,-2.3166828,6.0783544
1583283356087,11.595547,-4.4597626,9.4144745
1583283356137,11.431101,-6.4538035,13.765419
1583283356187,15.024743,-9.816201,20.314377
1583283356238,7.49831,-13.323219,24.132526
1583283356288,3.9812284,-12.096816,7.815431
1583283356337,7.0464387,-15.748935,5.1148767
1583283356387,3.0684419,-11.9703245,1.5684478
1583283356437,2.5890403,-8.916844,1.9761263
1583283356487,1.1652266,-6.7653284,2.6155448
1583283356538,-0.09980044,-5.760781,3.5178187
1583283356587,0.5067823,-4.9913726,4.027304
1583283356637,2.0378613,-3.8883708,5.0378337
1583283356688,1.8243628,-4.515957,5.8811955
1583283356737,0.6238259,-5.408245,7.353605
1583283356787,-1.1783885,-5.4413342,8.345159
1583283356838,-2.7420032,-6.19314,9.749454
1583283356888,-3.4655087,-5.9151015,10.10134
1583283356938,-3.4093812,-5.1251483,9.235544
1583283356987,-1.4520242,-4.5888023,7.9279428
1583283357038,0.32773623,-3.7723184,6.9947505
1583283357087,2.8497663,-3.6927009,6.7857375
1583283357138,4.605893,-3.7796237,7.5451226
1583283357188,4.9276385,-3.4806428,7.977461
1583283357237,5.18095,-3.5780153,8.76822
1583283357287,4.776648,-3.585951,8.523548
1583283357338,4.0488067,-3.971126,8.26415
1583283357387,3.5745947,-3.487032,9.306783
1583283357437,3.265727,-3.694434,9.513248
1583283357487,3.2910497,-4.0181694,9.568103
1583283357537,3.1989102,-3.6465988,9.287295
1583283357588,3.1694815,-3.7700553,9.084345
1583283357638,2.5559106,-2.4285266,8.99323
1583283357688,1.9027478,-2.5523727,8.840024
1583283357737,1.4485034,-4.1157207,8.117162
1583283357788,2.0511632,-6.41181,7.663828
1583283357838,2.192435,-5.507603,7.6570077
1583283357888,1.8309053,-4.636575,7.4910088
1583283357937,1.3507409,-4.940073,7.3348117
1583283357987,1.133503,-4.9658337,7.492601
1583283358037,1.4643214,-5.6509323,7.4344563
1583283358087,2.1251936,-6.946453,7.25548
1583283358137,2.3803163,-6.549242,7.8355455
1583283358188,1.4974036,-7.4556227,6.332443
1583283358238,1.0594443,-8.193334,5.5681973
1583283358288,1.1067715,-6.5842957,5.891378
1583283358337,0.98323673,-7.1154966,6.447595
1583283358388,1.1671108,-7.517404,6.177956
1583283358438,0.5138962,-8.022185,5.4251847
Time,accX,accY,accZ
1583283348488,6.247311,-7.241569,2.2824945
1583283348537,6.194635,-7.1465173,2.4267306
1583283348587,6.1579785,-6.9636583,3.0070238
1583283348637,6.1918526,-6.9118967,2.9334912
1583283348687,6.2330556,-6.9710975,3.1039379
1583283348738,6.2047577,-6.8750405,3.2002995
1583283348787,6.1573377,-6.9123273,3.0906818
1583283348837,6.200033,-6.887066,3.1699955
1583283348887,6.3744764,-6.879894,3.0955877
1583283348938,6.3367586,-6.883706,2.9147542
1583283348987,6.1929708,-6.9038787,3.1224627
1583283349038,6.201798,-6.9095526,3.1526546
1583283349088,6.2661123,-6.8964605,3.0804107
1583283349137,6.225286,-6.9310393,3.0714777
1583283349188,6.222822,-6.930842,3.0273411
1583283349238,6.2292647,-6.92223,3.0089896
1583283349287,6.1900964,-6.921026,2.9576714
1583283349337,6.228666,-6.9547596,3.0433517
1583283349387,6.3023195,-6.958883,3.0486753
1583283349437,6.2993383,-6.826354,2.8958743
1583283349488,6.1786723,-6.852321,3.09058
1583283349537,6.339186,-6.8807516,3.1077368
1583283349588,6.346497,-6.834822,3.0371594
1583283349638,6.2335505,-6.881231,3.2102818
1583283349687,6.2435718,-6.8831964,3.1374364
1583283349737,6.2888165,-6.785726,3.1810262
1583283349787,6.293462,-6.8258896,3.2065465
1583283349837,6.2938476,-6.7726192,3.2280247
1583283349888,6.281987,-6.797667,3.2906272
1583283349938,6.3123264,-6.8566275,3.260011
1583283349988,6.2566137,-6.795558,3.1652997
1583283350038,6.2484326,-6.7649136,3.2699323
1583283350087,6.309997,-6.7746935,3.2278857
1583283350137,6.3350964,-6.8049436,3.269642
1583283350187,6.3219156,-6.7871346,3.256471
1583283350237,6.2276807,-6.766595,3.3142357
1583283350287,6.178234,-6.8535,3.2147758
1583283350338,6.248611,-6.788099,3.3076158
1583283350388,6.286421,-6.8032928,3.2800517
1583283350437,6.2999806,-6.7676907,3.2715397
1583283350487,6.286203,-6.7908406,3.2481496
1583283350537,6.352547,-6.836679,3.1954608
1583283350588,6.319225,-6.8154535,3.21537
1583283350637,6.284736,-6.700211,3.4774303
1583283350687,6.2355886,-6.7276983,3.3441353
1583283350738,6.268552,-6.803166,3.237692
1583283350787,6.253596,-6.745591,3.3109186
1583283350837,6.2990527,-6.8216662,3.2839923
1583283350887,6.3318043,-6.745675,3.2785666
1583283350938,6.2615833,-6.7807198,3.317682
1583283350988,6.274902,-6.782353,3.239277
1583283351037,6.3852315,-6.755711,3.2649
1583283351087,6.313377,-6.6484103,3.5184157
1583283351137,6.2727704,-6.7459865,3.3808246
1583283351187,6.368249,-6.7364287,3.3190498
1583283351237,6.4037566,-6.6381288,3.335476
1583283351288,6.373275,-6.7054553,3.367419
1583283351338,6.3534584,-6.7025476,3.2370634
1583283351387,6.3336296,-6.7589827,3.3966458
1583283351437,6.271654,-6.599326,3.4668047
1583283351487,6.27105,-6.631454,3.431158
1583283351538,6.455281,-6.703373,3.4952476
1583283351588,6.468215,-6.560207,3.4632223
1583283351637,6.476467,-6.666188,3.475564
1583283351688,6.519172,-6.444126,3.6484265
1583283351738,6.5757313,-6.502117,3.7128406
1583283351788,6.6704764,-6.4795027,4.085043
1583283351838,7.16708,-6.9888434,6.3209267
1583283351887,11.924228,-8.82656,10.266071
1583283351937,16.82081,-11.691837,7.6424146
1583283351987,15.180147,-17.67805,6.4386716
1583283352038,9.708083,-5.5590873,6.6020346
1583283352087,7.3094044,-11.070213,7.1710024
1583283352137,5.935815,-20.058971,-0.73321176
1583283352187,3.3428016,-16.190332,-4.993938
1583283352237,-0.79042524,-8.590742,-15.743865
1583283352288,-1.0617099,-3.2980866,-23.047934
1583283352337,4.708217,7.5804806,-17.719364
1583283352388,12.418362,12.590564,-3.107273
1583283352437,20.747107,7.4418344,15.211422
1583283352487,29.126043,-6.421664,23.770412
1583283352537,37.36205,-24.503922,18.409283
1583283352588,27.69582,-41.924194,4.1464577
1583283352637,14.163064,-40.207657,-8.233289
1583283352687,10.306546,-29.230803,-16.864292
1583283352737,9.469605,-16.738432,-24.347004
1583283352787,11.581877,-5.776937,-21.68779
1583283352837,15.210039,10.865684,-12.130769
1583283352887,19.55738,12.858705,-5.4041033
1583283352937,17.918278,12.607477,4.2314835
1583283352988,16.698957,12.011255,14.404495
1583283353037,21.891298,5.190854,21.193352
1583283353087,30.425066,-5.682909,27.010532
1583283353138,31.095484,-22.32919,24.938559
1583283353187,20.11446,-34.53166,15.742718
1583283353237,9.759815,-34.806126,1.6216482
1583283353288,6.172076,-28.223223,-12.558325
1583283353337,7.8702183,-17.005966,-16.686777
1583283353387,11.901254,0.33310986,-14.452398
1583283353437,13.280889,11.372286,-9.820966
1583283353488,18.763832,10.6060505,-3.3190382
1583283353537,17.741762,11.428085,6.2306237
1583283353588,17.889652,14.44334,16.15054
1583283353637,26.298769,7.4156938,23.757618
1583283353688,35.644695,-5.856576,24.0178
1583283353737,33.399128,-23.028305,18.583794
1583283353787,21.20776,-34.34295,7.489977
1583283353838,8.565855,-34.147274,-6.9733157
1583283353887,5.422751,-21.93044,-14.839688
1583283353938,8.071548,-8.468423,-13.524744
1583283353987,9.095124,6.3185916,-8.792736
1583283354037,12.487669,5.324759,-7.0942583
1583283354088,15.104486,6.936249,-2.110728
1583283354137,16.653782,14.448126,9.74247
1583283354188,16.778982,22.005749,18.224388
1583283354237,24.838896,9.538956,21.632683
1583283354287,38.337334,-6.5087447,21.182922
1583283354337,36.429077,-25.780933,13.524502
1583283354387,18.626204,-33.781616,3.8544984
1583283354437,4.004691,-34.469524,-8.800232
1583283354487,1.6449928,-23.12069,-13.788048
1583283354538,7.5404334,-10.387529,-11.7912445
1583283354587,10.041369,2.786356,-9.12933
1583283354637,11.435849,7.256126,-7.2727
1583283354687,14.44114,5.5383134,-3.3387268
1583283354737,17.36164,8.568295,6.2386703
1583283354787,22.058855,15.563224,18.691475
1583283354838,29.799128,8.516045,25.535746
1583283354888,38.429935,-4.890325,22.41244
1583283354937,36.35591,-21.686874,13.007526
1583283354988,23.144888,-30.683167,3.572648
1583283355038,10.842643,-30.42979,-6.694644
1583283355087,4.1020784,-23.032948,-12.485207
1583283355137,7.447548,-12.589342,-11.740055
1583283355187,8.752686,-1.6700813,-9.231181
1583283355238,9.010253,5.625352,-9.574441
1583283355287,13.09337,5.3169365,-6.660347
1583283355338,20.856796,5.154657,2.2333717
1583283355387,21.282795,14.332719,12.149695
1583283355438,20.523798,13.406564,18.742025
1583283355488,27.90612,4.6334763,22.74237
1583283355538,36.236126,-11.76161,20.63161
1583283355587,26.600475,-24.737982,13.903443
1583283355637,13.836372,-27.061874,6.422887
1583283355687,6.2325735,-26.390587,-2.0357902
1583283355738,6.9414434,-17.535355,-6.0655227
1583283355787,10.620929,-6.6088724,-6.795923
1583283355838,9.243101,1.6566635,-7.108062
1583283355887,9.684345,1.3691478,-4.028795
1583283355937,12.745828,-1.6477778,0.23006773
1583283355988,13.632453,0.97381896,4.044915
1583283356038,12.061387,-2.3166828,6.0783544
1583283356087,11.595547,-4.4597626,9.4144745
1583283356137,11.431101,-6.4538035,13.765419
1583283356187,15.024743,-9.816201,20.314377
1583283356238,7.49831,-13.323219,24.132526
1583283356288,3.9812284,-12.096816,7.815431
1583283356337,7.0464387,-15.748935,5.1148767
1583283356387,3.0684419,-11.9703245,1.5684478
1583283356437,2.5890403,-8.916844,1.9761263
1583283356487,1.1652266,-6.7653284,2.6155448
1583283356538,-0.09980044,-5.760781,3.5178187
1583283356587,0.5067823,-4.9913726,4.027304
1583283356637,2.0378613,-3.8883708,5.0378337
1583283356688,1.8243628,-4.515957,5.8811955
1583283356737,0.6238259,-5.408245,7.353605
1583283356787,-1.1783885,-5.4413342,8.345159
1583283356838,-2.7420032,-6.19314,9.749454
1583283356888,-3.4655087,-5.9151015,10.10134
1583283356938,-3.4093812,-5.1251483,9.235544
1583283356987,-1.4520242,-4.5888023,7.9279428
1583283357038,0.32773623,-3.7723184,6.9947505
1583283357087,2.8497663,-3.6927009,6.7857375
1583283357138,4.605893,-3.7796237,7.5451226
1583283357188,4.9276385,-3.4806428,7.977461
1583283357237,5.18095,-3.5780153,8.76822
1583283357287,4.776648,-3.585951,8.523548
1583283357338,4.0488067,-3.971126,8.26415
1583283357387,3.5745947,-3.487032,9.306783
1583283357437,3.265727,-3.694434,9.513248
1583283357487,3.2910497,-4.0181694,9.568103
1583283357537,3.1989102,-3.6465988,9.287295
1583283357588,3.1694815,-3.7700553,9.084345
1583283357638,2.5559106,-2.4285266,8.99323
1583283357688,1.9027478,-2.5523727,8.840024
1583283357737,1.4485034,-4.1157207,8.117162
1583283357788,2.0511632,-6.41181,7.663828
1583283357838,2.192435,-5.507603,7.6570077
1583283357888,1.8309053,-4.636575,7.4910088
1583283357937,1.3507409,-4.940073,7.3348117
1583283357987,1.133503,-4.9658337,7.492601
1583283358037,1.4643214,-5.6509323,7.4344563
1583283358087,2.1251936,-6.946453,7.25548
1583283358137,2.3803163,-6.549242,7.8355455
1583283358188,1.4974036,-7.4556227,6.332443
1583283358238,1.0594443,-8.193334,5.5681973
1583283358288,1.1067715,-6.5842957,5.891378
1583283358337,0.98323673,-7.1154966,6.447595
1583283358388,1.1671108,-7.517404,6.177956
1583283358438,0.5138962,-8.022185,5.4251847
