Time,rotX,rotY,rotZosboxe
1583287184213,-0.1268051,-0.0785725,0.13493474
1583287184263,0.5909852,1.7377588,-0.32011747
1583287184313,0.9556076,3.0314376,-0.6134142
1583287184363,1.1063619,3.8349233,-0.9972188
1583287184413,0.90364575,4.2309737,-1.5173028
1583287184462,0.3941564,4.396974,-1.9885651
1583287184513,0.1384855,4.4165463,-2.4447536
1583287184563,0.33595935,4.332763,-2.953864
1583287184612,0.4115962,4.021059,-3.5634067
1583287184662,0.020033412,3.3709736,-3.8149714
1583287184713,1.4852653,2.0692391,-3.8229513
1583287184762,2.5718095,0.8106532,-3.8625414
1583287184812,2.9361386,-0.45959166,-3.283342
1583287184863,2.8188388,-1.5805005,-2.2656891
1583287184913,2.4679458,-2.315887,-1.0712935
1583287184963,1.8161007,-2.7157,0.25503445
1583287185013,2.6649487,-2.8521426,1.5147811
1583287185062,3.063309,-2.5480058,2.6690798
1583287185112,2.3851197,-1.9948753,3.4749668
1583287185163,1.5484093,-1.4273524,3.9498026
1583287185212,0.9091946,-0.95252544,3.9513016
1583287185262,0.9526698,-0.8238533,3.51495
1583287185312,3.3265016,-0.706669,2.616959
1583287185362,5.910402,-0.23355484,1.6232953
1583287185413,4.3412433,-0.4728496,1.158534
1583287185462,3.1054678,-1.0518402,1.1324524
1583287185512,4.402643,-1.3096087,0.5931924
1583287185562,4.4813395,-0.6187646,-0.17521082
1583287185612,0.4187493,0.2988731,-0.15056533
1583287185663,-1.3996757,0.35902447,-0.07562158
1583287185712,-0.6162363,0.20018452,-0.05003131
1583287185762,-0.15846054,0.15607794,-0.079467475
1583287185813,-0.22430786,0.083210036,-0.15814842
1583287185863,-0.1852457,-0.015125837,-0.18198761
1583287185912,-0.23788683,-0.0015481522,-0.15820329
1583287185963,-0.34671164,0.034648497,-0.093965374
1583287186012,-0.34848523,0.04666871,-0.07665599
1583287186063,-0.33312303,0.061876625,-0.0871244
1583287186112,-0.1858548,0.055509012,-0.050173916
1583287186162,0.0030315465,0.019250456,-0.023703849
1583287186213,0.014867214,-0.005875796,-0.01666347
1583287186263,-0.023817949,-0.008387916,-0.016186446
1583287186313,-0.003825362,-0.0030508188,-0.011518969
1583287186363,7.586195E-4,0.0067158183,-0.010707671
1583287186412,-0.02331353,0.016260114,-0.020426722
1583287186463,-0.012201396,0.011516544,-0.023234619
1583287186513,-0.010370329,0.0069018137,-0.016846828
1583287186562,-0.021438757,0.010863767,-0.002217757
1583287186613,-0.039399628,0.020450724,0.010888638
1583287186663,-0.03403349,0.022012297,0.013608854
1583287186713,-0.024574747,0.023754528,0.0040677614
1583287186762,-0.011623249,0.017213034,-0.0018404076
1583287186812,-0.038826007,0.022382844,-0.0026754276
1583287186862,-0.07791298,0.039950237,-0.011155032
1583287186913,-0.11008951,0.040945277,-0.040413234
1583287186962,-0.62454396,0.30146953,-0.24167764
1583287187012,-2.4719946,0.91584164,-0.6950724
1583287187063,-2.6211734,1.582693,-1.4322072
1583287187113,-0.97505254,1.7119563,-1.6753081
1583287187162,-0.23912214,1.4575554,-1.0564146
1583287187212,0.12331714,-0.13981323,-1.577684
1583287187263,-1.0385238,-1.5357822,-3.2476506
1583287187313,-1.044307,-0.93196136,-5.0847564
1583287187363,-2.0765839,-0.12900902,-5.7509365
1583287187412,-2.880601,1.7886304,-5.113709
1583287187463,-1.6142464,3.2457168,-3.725792
1583287187512,-2.1808856,3.360237,-2.4106555
1583287187563,-1.3930699,3.3915167,-1.195228
1583287187612,-0.2527104,2.6051824,-0.18824989
1583287187662,0.0783208,1.453638,0.37391016
1583287187712,0.41248792,0.43329555,0.34307456
1583287187762,0.05979857,-0.39711058,0.18653223
1583287187812,0.054122075,-0.6864387,0.24535057
1583287187863,0.21283557,-0.97837204,0.3262909
1583287187912,0.14651175,-0.8967291,0.26284608
1583287187962,0.33147874,-0.84695345,0.1792615
1583287188012,0.06323631,-0.81873536,0.15236315
1583287188063,-0.1813068,-0.9900084,0.12638584
1583287188112,-0.20295452,-1.0659705,0.27223992
1583287188162,-0.46587408,-1.4845507,0.19418576
1583287188213,-0.3510357,-1.5508438,0.043543253
1583287188263,0.4451452,-1.6987613,-0.34935945
1583287188312,1.2874116,-1.4985433,-0.62732404
1583287188362,1.5697663,-1.5342797,-0.77318126
1583287188412,1.3964891,-1.3675797,-0.70433974
1583287188462,0.98139054,-1.001106,-0.56332505
1583287188512,0.35476542,-0.67868716,-0.5179406
1583287188562,0.27972174,-0.23809545,-0.37605408
1583287188613,0.34202832,0.067585126,-0.11090875
1583287188663,0.27124688,0.2829733,0.15572391
1583287188712,0.12716183,0.24159269,0.5762027
Time,rotX,rotY,rotZosboxe
1583287178762,0.47609672,-0.4137969,-0.20498157
1583287178813,1.3510351,0.36327317,0.60701483
1583287178863,2.361822,1.0289294,1.5490985
1583287178912,2.5880358,2.001339,2.3651693
1583287178962,1.71653,2.6087995,2.809485
1583287179013,-9.624206E-4,2.4680579,2.7970371
1583287179062,-1.7582386,1.9212805,2.5145552
1583287179112,-2.290706,1.5259563,2.319376
1583287179162,-1.6184775,1.0942137,2.2391162
1583287179212,-0.6913205,0.5028269,2.118834
1583287179263,0.08676512,-0.18212114,1.6807477
1583287179312,0.7453059,-0.7724748,0.98444873
1583287179363,1.5278124,-1.1554033,-0.03454947
1583287179413,2.4665546,-1.2739911,-1.096383
1583287179462,2.429381,-1.3867527,-1.861853
1583287179513,1.4820076,-1.4118887,-2.1344006
1583287179563,0.091547504,-1.4047949,-2.2435498
1583287179612,-1.2235299,-1.1897315,-2.2218354
1583287179662,-1.5378796,-0.46617764,-2.2763143
1583287179712,-0.23104362,-0.87556636,-2.599934
1583287179762,2.134079,-0.9328561,-2.3172612
1583287179812,2.857342,-0.634352,-1.7779511
1583287179863,2.0122797,-0.40105546,-1.1545485
1583287179912,0.7639838,-0.19211207,-0.45303854
1583287179962,-0.06989299,-0.06650664,0.25475866
1583287180013,-0.068751864,-0.18704188,0.8305631
1583287180062,1.0235337,0.43419534,1.3425714
1583287180112,1.5059927,0.81720734,1.8816918
1583287180163,1.3279537,0.6751951,2.1130977
1583287180213,0.8389033,0.656058,1.8426346
1583287180263,0.24135679,0.43757758,1.2790004
1583287180312,-0.052516267,0.1347297,0.85686356
1583287180362,0.1662561,-0.16694136,0.41111866
1583287180412,-0.05947108,-0.34148774,-0.068871416
1583287180462,-0.54131824,-0.28626403,-0.41202727
1583287180512,-0.96997494,-0.1119572,-0.5857446
1583287180563,-1.5871181,0.24618861,-0.59894454
1583287180612,-1.9972779,0.60820365,-0.57202154
1583287180663,-2.110108,0.64501894,-0.5244444
1583287180712,-1.8459073,0.90826833,-0.063534826
1583287180762,-0.982799,0.07066615,0.6684729
1583287180812,0.7132433,-0.36439085,1.4513935
1583287180862,2.494588,-0.5997228,1.3872569
1583287180913,3.2124736,-0.6656977,1.0534151
1583287180963,2.477311,-0.9132136,0.9634698
1583287181012,1.1437912,-1.2029313,1.50455
1583287181062,1.3305135,-1.416907,2.1848319
1583287181113,0.9141013,-0.99761003,2.587457
1583287181162,0.84322006,0.37612712,2.071336
1583287181212,0.27886146,0.83695,1.6967611
1583287181262,0.069176935,0.44040358,1.4000591
1583287181312,0.25050545,0.37421802,1.1641966
1583287181362,0.6605436,0.71668,0.84734964
1583287181412,0.65377575,1.4623059,0.36245754
1583287181462,0.63338417,2.3691218,-0.022700084
1583287181513,0.016500518,3.4451418,-0.34978658
1583287181562,-0.3455855,4.222305,-0.9236536
1583287181612,-0.65363395,4.255211,-1.7528981
1583287181662,-2.6177034,3.8723752,-2.504227
1583287181712,-4.223651,3.0536854,-2.9598281
1583287181763,-2.8849008,1.9501023,-3.6203156
1583287181813,-0.73892605,2.4420898,-4.173543
1583287181862,-1.9966311,3.970528,-3.795433
1583287181913,-4.8761706,4.6502557,-2.0790129
1583287181963,-4.335159,3.581462,0.32807434
1583287182013,-0.9477965,1.89557,1.5107834
1583287182063,-0.3742393,-0.22247492,2.5639226
1583287182112,-1.3353449,-2.929881,3.8281462
1583287182163,-0.9522133,-5.2854342,4.4240317
1583287182213,-0.37303638,-6.321767,4.941077
1583287182262,-0.034680452,-5.8705826,4.7388444
1583287182312,-0.47937444,-4.878355,3.5334034
1583287182362,-0.7755333,-3.996558,2.259717
1583287182413,0.2319993,-2.8115797,1.4024367
1583287182462,0.6416082,-0.6847254,0.3041032
1583287182513,0.73638356,1.1072454,-1.3537768
1583287182562,0.74398196,2.565615,-2.750708
1583287182612,0.8673908,3.538169,-3.53151
1583287182662,1.4945527,3.9146523,-4.209149
1583287182712,1.681354,3.886992,-4.2803187
1583287182762,0.6802408,3.568821,-3.984185
1583287182813,-0.58133924,3.0713966,-3.0130985
1583287182862,-0.51421124,1.8321148,-1.4184227
1583287182912,-0.55902886,-0.20206182,0.8863566
1583287182962,-0.7560254,-2.4642086,2.7173193
1583287183013,0.8296719,-3.920775,3.7265308
1583287183062,1.9705161,-4.5515757,4.73571
1583287183113,0.5491714,-3.7487288,5.0915756
1583287183162,-1.2214174,-2.4077787,4.1810894
1583287183213,-2.4488401,-2.220321,2.6101618
1583287183262,-0.8488143,-1.2052218,0.8900591
1583287183313,0.6883199,0.2518167,-0.89109457
1583287183362,1.8994602,1.3789481,-2.2651734
1583287183412,0.6007668,2.3238978,-3.3829842
1583287183463,0.44469473,2.9176855,-4.1624312
1583287183513,-0.6127759,3.294779,-4.480483
1583287183562,-2.3896358,3.8976533,-3.9514647
1583287183613,-2.2124634,3.8679676,-2.8380628
1583287183663,-1.6727681,3.1411493,-1.862401
1583287183712,-1.0935006,1.750286,-0.582497
1583287183762,-0.7154924,-0.08014942,0.56500417
1583287183813,-1.1274259,-1.7013915,1.2347676
1583287183863,-0.99514896,-3.0870562,1.7164934
1583287183912,-0.12548415,-4.3759613,2.16864
1583287183962,0.105365746,-5.0269394,2.2605228
1583287184013,-0.48418647,-5.129846,2.1131651
1583287184062,-0.991308,-4.7537737,1.8082544
1583287184112,-1.2837659,-3.7682922,1.4213074
1583287184162,-1.0788435,-2.1554637,0.8358308
1583287184213,-0.1268051,-0.0785725,0.13493474
1583287184263,0.5909852,1.7377588,-0.32011747
1583287184313,0.9556076,3.0314376,-0.6134142
1583287184363,1.1063619,3.8349233,-0.9972188
1583287184413,0.90364575,4.2309737,-1.5173028
1583287184462,0.3941564,4.396974,-1.9885651
1583287184513,0.1384855,4.4165463,-2.4447536
1583287184563,0.33595935,4.332763,-2.953864
1583287184612,0.4115962,4.021059,-3.5634067
1583287184662,0.020033412,3.3709736,-3.8149714
1583287184713,1.4852653,2.0692391,-3.8229513
1583287184762,2.5718095,0.8106532,-3.8625414
1583287184812,2.9361386,-0.45959166,-3.283342
1583287184863,2.8188388,-1.5805005,-2.2656891
1583287184913,2.4679458,-2.315887,-1.0712935
1583287184963,1.8161007,-2.7157,0.25503445
1583287185013,2.6649487,-2.8521426,1.5147811
1583287185062,3.063309,-2.5480058,2.6690798
1583287185112,2.3851197,-1.9948753,3.4749668
1583287185163,1.5484093,-1.4273524,3.9498026
1583287185212,0.9091946,-0.95252544,3.9513016
1583287185262,0.9526698,-0.8238533,3.51495
1583287185312,3.3265016,-0.706669,2.616959
1583287185362,5.910402,-0.23355484,1.6232953
1583287185413,4.3412433,-0.4728496,1.158534
1583287185462,3.1054678,-1.0518402,1.1324524
1583287185512,4.402643,-1.3096087,0.5931924
1583287185562,4.4813395,-0.6187646,-0.17521082
1583287185612,0.4187493,0.2988731,-0.15056533
1583287185663,-1.3996757,0.35902447,-0.07562158
1583287185712,-0.6162363,0.20018452,-0.05003131
1583287185762,-0.15846054,0.15607794,-0.079467475
1583287185813,-0.22430786,0.083210036,-0.15814842
1583287185863,-0.1852457,-0.015125837,-0.18198761
1583287185912,-0.23788683,-0.0015481522,-0.15820329
1583287185963,-0.34671164,0.034648497,-0.093965374
1583287186012,-0.34848523,0.04666871,-0.07665599
1583287186063,-0.33312303,0.061876625,-0.0871244
1583287186112,-0.1858548,0.055509012,-0.050173916
1583287186162,0.0030315465,0.019250456,-0.023703849
1583287186213,0.014867214,-0.005875796,-0.01666347
1583287186263,-0.023817949,-0.008387916,-0.016186446
1583287186313,-0.003825362,-0.0030508188,-0.011518969
1583287186363,7.586195E-4,0.0067158183,-0.010707671
1583287186412,-0.02331353,0.016260114,-0.020426722
1583287186463,-0.012201396,0.011516544,-0.023234619
1583287186513,-0.010370329,0.0069018137,-0.016846828
1583287186562,-0.021438757,0.010863767,-0.002217757
1583287186613,-0.039399628,0.020450724,0.010888638
1583287186663,-0.03403349,0.022012297,0.013608854
1583287186713,-0.024574747,0.023754528,0.0040677614
1583287186762,-0.011623249,0.017213034,-0.0018404076
1583287186812,-0.038826007,0.022382844,-0.0026754276
1583287186862,-0.07791298,0.039950237,-0.011155032
1583287186913,-0.11008951,0.040945277,-0.040413234
1583287186962,-0.62454396,0.30146953,-0.24167764
1583287187012,-2.4719946,0.91584164,-0.6950724
1583287187063,-2.6211734,1.582693,-1.4322072
1583287187113,-0.97505254,1.7119563,-1.6753081
1583287187162,-0.23912214,1.4575554,-1.0564146
1583287187212,0.12331714,-0.13981323,-1.577684
1583287187263,-1.0385238,-1.5357822,-3.2476506
1583287187313,-1.044307,-0.93196136,-5.0847564
1583287187363,-2.0765839,-0.12900902,-5.7509365
1583287187412,-2.880601,1.7886304,-5.113709
1583287187463,-1.6142464,3.2457168,-3.725792
1583287187512,-2.1808856,3.360237,-2.4106555
1583287187563,-1.3930699,3.3915167,-1.195228
1583287187612,-0.2527104,2.6051824,-0.18824989
1583287187662,0.0783208,1.453638,0.37391016
1583287187712,0.41248792,0.43329555,0.34307456
1583287187762,0.05979857,-0.39711058,0.18653223
1583287187812,0.054122075,-0.6864387,0.24535057
1583287187863,0.21283557,-0.97837204,0.3262909
1583287187912,0.14651175,-0.8967291,0.26284608
1583287187962,0.33147874,-0.84695345,0.1792615
1583287188012,0.06323631,-0.81873536,0.15236315
1583287188063,-0.1813068,-0.9900084,0.12638584
1583287188112,-0.20295452,-1.0659705,0.27223992
1583287188162,-0.46587408,-1.4845507,0.19418576
1583287188213,-0.3510357,-1.5508438,0.043543253
1583287188263,0.4451452,-1.6987613,-0.34935945
1583287188312,1.2874116,-1.4985433,-0.62732404
1583287188362,1.5697663,-1.5342797,-0.77318126
1583287188412,1.3964891,-1.3675797,-0.70433974
1583287188462,0.98139054,-1.001106,-0.56332505
1583287188512,0.35476542,-0.67868716,-0.5179406
1583287188562,0.27972174,-0.23809545,-0.37605408
1583287188613,0.34202832,0.067585126,-0.11090875
1583287188663,0.27124688,0.2829733,0.15572391
1583287188712,0.12716183,0.24159269,0.5762027
Time,rotX,rotY,rotZosboxe
1583287178762,0.47609672,-0.4137969,-0.20498157
1583287178813,1.3510351,0.36327317,0.60701483
1583287178863,2.361822,1.0289294,1.5490985
1583287178912,2.5880358,2.001339,2.3651693
1583287178962,1.71653,2.6087995,2.809485
1583287179013,-9.624206E-4,2.4680579,2.7970371
1583287179062,-1.7582386,1.9212805,2.5145552
1583287179112,-2.290706,1.5259563,2.319376
1583287179162,-1.6184775,1.0942137,2.2391162
1583287179212,-0.6913205,0.5028269,2.118834
1583287179263,0.08676512,-0.18212114,1.6807477
1583287179312,0.7453059,-0.7724748,0.98444873
1583287179363,1.5278124,-1.1554033,-0.03454947
1583287179413,2.4665546,-1.2739911,-1.096383
1583287179462,2.429381,-1.3867527,-1.861853
1583287179513,1.4820076,-1.4118887,-2.1344006
1583287179563,0.091547504,-1.4047949,-2.2435498
1583287179612,-1.2235299,-1.1897315,-2.2218354
1583287179662,-1.5378796,-0.46617764,-2.2763143
1583287179712,-0.23104362,-0.87556636,-2.599934
1583287179762,2.134079,-0.9328561,-2.3172612
1583287179812,2.857342,-0.634352,-1.7779511
1583287179863,2.0122797,-0.40105546,-1.1545485
1583287179912,0.7639838,-0.19211207,-0.45303854
1583287179962,-0.06989299,-0.06650664,0.25475866
1583287180013,-0.068751864,-0.18704188,0.8305631
1583287180062,1.0235337,0.43419534,1.3425714
1583287180112,1.5059927,0.81720734,1.8816918
1583287180163,1.3279537,0.6751951,2.1130977
1583287180213,0.8389033,0.656058,1.8426346
1583287180263,0.24135679,0.43757758,1.2790004
1583287180312,-0.052516267,0.1347297,0.85686356
1583287180362,0.1662561,-0.16694136,0.41111866
1583287180412,-0.05947108,-0.34148774,-0.068871416
1583287180462,-0.54131824,-0.28626403,-0.41202727
1583287180512,-0.96997494,-0.1119572,-0.5857446
1583287180563,-1.5871181,0.24618861,-0.59894454
1583287180612,-1.9972779,0.60820365,-0.57202154
1583287180663,-2.110108,0.64501894,-0.5244444
1583287180712,-1.8459073,0.90826833,-0.063534826
1583287180762,-0.982799,0.07066615,0.6684729
1583287180812,0.7132433,-0.36439085,1.4513935
1583287180862,2.494588,-0.5997228,1.3872569
1583287180913,3.2124736,-0.6656977,1.0534151
1583287180963,2.477311,-0.9132136,0.9634698
1583287181012,1.1437912,-1.2029313,1.50455
1583287181062,1.3305135,-1.416907,2.1848319
1583287181113,0.9141013,-0.99761003,2.587457
1583287181162,0.84322006,0.37612712,2.071336
1583287181212,0.27886146,0.83695,1.6967611
1583287181262,0.069176935,0.44040358,1.4000591
1583287181312,0.25050545,0.37421802,1.1641966
1583287181362,0.6605436,0.71668,0.84734964
1583287181412,0.65377575,1.4623059,0.36245754
1583287181462,0.63338417,2.3691218,-0.022700084
1583287181513,0.016500518,3.4451418,-0.34978658
1583287181562,-0.3455855,4.222305,-0.9236536
1583287181612,-0.65363395,4.255211,-1.7528981
1583287181662,-2.6177034,3.8723752,-2.504227
1583287181712,-4.223651,3.0536854,-2.9598281
1583287181763,-2.8849008,1.9501023,-3.6203156
1583287181813,-0.73892605,2.4420898,-4.173543
1583287181862,-1.9966311,3.970528,-3.795433
1583287181913,-4.8761706,4.6502557,-2.0790129
1583287181963,-4.335159,3.581462,0.32807434
1583287182013,-0.9477965,1.89557,1.5107834
1583287182063,-0.3742393,-0.22247492,2.5639226
1583287182112,-1.3353449,-2.929881,3.8281462
1583287182163,-0.9522133,-5.2854342,4.4240317
1583287182213,-0.37303638,-6.321767,4.941077
1583287182262,-0.034680452,-5.8705826,4.7388444
1583287182312,-0.47937444,-4.878355,3.5334034
1583287182362,-0.7755333,-3.996558,2.259717
1583287182413,0.2319993,-2.8115797,1.4024367
1583287182462,0.6416082,-0.6847254,0.3041032
1583287182513,0.73638356,1.1072454,-1.3537768
1583287182562,0.74398196,2.565615,-2.750708
1583287182612,0.8673908,3.538169,-3.53151
1583287182662,1.4945527,3.9146523,-4.209149
1583287182712,1.681354,3.886992,-4.2803187
1583287182762,0.6802408,3.568821,-3.984185
1583287182813,-0.58133924,3.0713966,-3.0130985
1583287182862,-0.51421124,1.8321148,-1.4184227
1583287182912,-0.55902886,-0.20206182,0.8863566
1583287182962,-0.7560254,-2.4642086,2.7173193
1583287183013,0.8296719,-3.920775,3.7265308
1583287183062,1.9705161,-4.5515757,4.73571
1583287183113,0.5491714,-3.7487288,5.0915756
1583287183162,-1.2214174,-2.4077787,4.1810894
1583287183213,-2.4488401,-2.220321,2.6101618
1583287183262,-0.8488143,-1.2052218,0.8900591
1583287183313,0.6883199,0.2518167,-0.89109457
1583287183362,1.8994602,1.3789481,-2.2651734
1583287183412,0.6007668,2.3238978,-3.3829842
1583287183463,0.44469473,2.9176855,-4.1624312
1583287183513,-0.6127759,3.294779,-4.480483
1583287183562,-2.3896358,3.8976533,-3.9514647
1583287183613,-2.2124634,3.8679676,-2.8380628
1583287183663,-1.6727681,3.1411493,-1.862401
1583287183712,-1.0935006,1.750286,-0.582497
1583287183762,-0.7154924,-0.08014942,0.56500417
1583287183813,-1.1274259,-1.7013915,1.2347676
1583287183863,-0.99514896,-3.0870562,1.7164934
1583287183912,-0.12548415,-4.3759613,2.16864
1583287183962,0.105365746,-5.0269394,2.2605228
1583287184013,-0.48418647,-5.129846,2.1131651
1583287184062,-0.991308,-4.7537737,1.8082544
1583287184112,-1.2837659,-3.7682922,1.4213074
1583287184162,-1.0788435,-2.1554637,0.8358308
1583287184213,-0.1268051,-0.0785725,0.13493474
1583287184263,0.5909852,1.7377588,-0.32011747
1583287184313,0.9556076,3.0314376,-0.6134142
1583287184363,1.1063619,3.8349233,-0.9972188
1583287184413,0.90364575,4.2309737,-1.5173028
1583287184462,0.3941564,4.396974,-1.9885651
1583287184513,0.1384855,4.4165463,-2.4447536
1583287184563,0.33595935,4.332763,-2.953864
1583287184612,0.4115962,4.021059,-3.5634067
1583287184662,0.020033412,3.3709736,-3.8149714
1583287184713,1.4852653,2.0692391,-3.8229513
1583287184762,2.5718095,0.8106532,-3.8625414
1583287184812,2.9361386,-0.45959166,-3.283342
1583287184863,2.8188388,-1.5805005,-2.2656891
1583287184913,2.4679458,-2.315887,-1.0712935
1583287184963,1.8161007,-2.7157,0.25503445
1583287185013,2.6649487,-2.8521426,1.5147811
1583287185062,3.063309,-2.5480058,2.6690798
1583287185112,2.3851197,-1.9948753,3.4749668
1583287185163,1.5484093,-1.4273524,3.9498026
1583287185212,0.9091946,-0.95252544,3.9513016
1583287185262,0.9526698,-0.8238533,3.51495
1583287185312,3.3265016,-0.706669,2.616959
1583287185362,5.910402,-0.23355484,1.6232953
1583287185413,4.3412433,-0.4728496,1.158534
1583287185462,3.1054678,-1.0518402,1.1324524
1583287185512,4.402643,-1.3096087,0.5931924
1583287185562,4.4813395,-0.6187646,-0.17521082
1583287185612,0.4187493,0.2988731,-0.15056533
1583287185663,-1.3996757,0.35902447,-0.07562158
1583287185712,-0.6162363,0.20018452,-0.05003131
1583287185762,-0.15846054,0.15607794,-0.079467475
1583287185813,-0.22430786,0.083210036,-0.15814842
1583287185863,-0.1852457,-0.015125837,-0.18198761
1583287185912,-0.23788683,-0.0015481522,-0.15820329
1583287185963,-0.34671164,0.034648497,-0.093965374
1583287186012,-0.34848523,0.04666871,-0.07665599
1583287186063,-0.33312303,0.061876625,-0.0871244
1583287186112,-0.1858548,0.055509012,-0.050173916
1583287186162,0.0030315465,0.019250456,-0.023703849
1583287186213,0.014867214,-0.005875796,-0.01666347
1583287186263,-0.023817949,-0.008387916,-0.016186446
1583287186313,-0.003825362,-0.0030508188,-0.011518969
1583287186363,7.586195E-4,0.0067158183,-0.010707671
1583287186412,-0.02331353,0.016260114,-0.020426722
