Time,rotX,rotY,rotZosboxe
1583283252138,0.007160554,-0.0012367214,-0.0025316316
1583283252187,-0.014144509,-0.004979365,0.009561947
1583283252237,-0.023305371,0.010008679,0.026341392
1583283252287,0.015354966,0.0022457007,-0.012476409
1583283252337,-0.004170833,-5.8043003E-4,-0.001501502
1583283252387,-0.001377054,-0.0017264085,0.012383398
1583283252438,-0.009821081,0.0044134166,0.015324093
1583283252488,0.023104,0.010702422,0.01504918
1583283252537,0.014703886,0.0061821043,-1.7784745E-4
1583283252587,0.021035857,5.433089E-4,-0.005518004
1583283252637,-0.016949061,-0.009828037,-0.0037041565
1583283252687,0.005119939,0.020019611,0.005818222
1583283252738,0.032348305,0.010005305,-0.026782732
1583283252788,0.005039982,-0.0040112142,-0.008054325
1583283252837,-0.004911635,-0.004010455,-0.0061042057
1583283252888,0.001215551,3.3287797E-5,0.011915192
1583283252938,0.0033278787,-7.3928013E-4,-1.706644E-4
1583283252988,0.01671076,0.003397585,0.008502511
1583283253037,-0.004345154,-7.5189443E-4,0.0014659162
1583283253087,-0.0127547765,-0.0060646753,0.0063861483
1583283253138,-0.019908167,-0.004311184,-0.008339088
1583283253187,0.018960895,0.0022527515,-0.018769084
1583283253237,-0.018991364,1.783832E-4,0.007381627
1583283253287,0.008441772,0.0018712492,-0.0028362349
1583283253338,0.0080421725,-0.00666435,-0.008520183
1583283253387,0.02383888,-0.007978698,-0.008181507
1583283253437,0.0071516107,-0.0074374066,0.0141332485
1583283253488,0.013581438,-0.00811371,-0.0067269155
1583283253538,0.014623413,-0.008055007,-0.013242926
1583283253587,0.02592365,-0.0047518522,-0.015527582
1583283253637,-0.018121218,-0.024788467,0.028367147
1583283253687,-0.016664285,-0.008476613,0.025025101
1583283253738,-0.0059994487,-9.746663E-5,-0.0068339533
1583283253787,0.00927899,0.0027171143,-0.014535429
1583283253837,0.002292281,0.00210702,0.0042850454
1583283253888,-9.0405444E-4,0.0045472234,0.008368051
1583283253938,-2.8135028E-4,-0.0045292643,5.072267E-4
1583283253987,0.02844018,-0.008891918,-0.023865158
1583283254037,0.015640892,-0.007860897,-1.3510697E-4
1583283254088,-0.022881519,-4.267306E-4,0.002523946
1583283254137,0.001958096,0.00226304,-0.0051936843
1583283254187,-0.0030239504,0.0038529611,-0.019744014
1583283254238,0.009696065,0.0028276783,0.0024993871
1583283254287,0.0042397673,0.0043573836,-0.0012086723
1583283254338,0.012673862,-0.005354104,0.012941372
1583283254387,0.012145264,-1.1794688E-4,-0.0047635674
1583283254438,0.013083152,0.012770526,0.0035959166
1583283254488,-0.015616707,0.0047602956,-8.8522164E-4
1583283254538,0.0023448945,7.078564E-5,0.012509733
1583283254587,-0.015823793,0.010568129,0.006078116
1583283254637,0.016823908,0.01250992,0.009354945
1583283254687,0.013187674,-0.008025045,-0.008694382
1583283254737,-0.0027862298,0.009458907,0.020402722
1583283254787,-0.046917576,0.009111309,-0.006305685
1583283254838,0.0057463963,0.007955034,0.013946287
1583283254887,-0.013334103,0.00329678,0.0010107695
1583283254938,0.008523037,0.008519158,0.010362392
1583283254987,-0.008920344,0.0052965824,-0.0061478405
1583283255038,0.018255705,0.00979748,-0.0053085806
1583283255087,-0.010366749,-8.8282954E-4,0.0047819107
1583283255137,-0.010799215,0.011738839,0.02126057
1583283255187,-0.02877003,0.0069198934,0.023328973
1583283255238,0.024243802,0.0032315045,-0.0026494446
1583283255288,-0.011942827,8.1908656E-4,0.0011683828
1583283255337,-0.00633413,-2.5520567E-5,0.005407577
1583283255387,-0.021550441,-0.008163013,0.005615168
1583283255438,0.011804167,0.0020792312,-0.008472353
1583283255487,-0.014998125,-0.008163342,0.0014121714
1583283255537,-0.05187149,-0.021014983,0.0017686542
1583283255588,-0.036815245,0.0085909385,7.452844E-4
1583283255638,-0.024006039,0.002426908,-0.011100464
1583283255687,0.014147729,0.003009711,-2.480275E-5
1583283255737,-0.006824494,-0.0015947665,-0.0141481925
1583283255787,-0.007984294,-0.0027799448,0.0160642
1583283255838,0.007427882,0.0042459886,-0.005398441
1583283255887,0.009580103,0.0022948985,0.010957485
1583283255937,0.00477575,-0.003025073,0.0015413859
1583283255988,0.005689997,-0.0140995495,0.0022423128
Time,rotX,rotY,rotZosboxe
1583283246038,0.042367473,1.0908664,1.4125644
1583283246087,-0.8179889,0.83111334,2.2798262
1583283246138,-1.5351264,0.19732706,2.337442
1583283246187,-1.9236765,-0.51764923,1.5809524
1583283246237,-2.582282,-1.3001366,0.40145335
1583283246288,-2.3526359,-1.7056557,-0.7097443
1583283246337,-1.869972,-2.8849676,-1.8053951
1583283246387,-2.4012973,-2.7913356,-1.9303732
1583283246438,-2.3670647,-2.27149,-1.9129057
1583283246487,-2.944707,-0.4071017,-1.3025749
1583283246538,-1.006802,-0.32274878,-0.2716587
1583283246588,-0.94503844,-0.045575824,0.115668386
1583283246638,-0.40984434,-0.0010764855,-0.064197145
1583283246687,0.3467957,-0.23111466,-0.32977238
1583283246737,0.5727629,-0.025264151,-0.22873496
1583283246788,0.57252395,0.14151648,0.10053649
1583283246838,0.27032906,0.122032344,0.10694645
1583283246888,0.06797363,-0.03526495,-0.05051667
1583283246937,0.17568482,-0.07043546,-0.025086462
1583283246988,0.060365215,-0.037053093,0.040550075
1583283247037,-0.0643274,-0.01980945,0.06972969
1583283247088,0.06549539,0.020715447,0.08661354
1583283247137,-0.046511516,-0.051500365,0.0047132974
1583283247188,0.010544355,-0.059966233,-0.053943135
1583283247238,0.020226859,-0.034071628,-0.035601337
1583283247287,-0.10877638,-0.015252808,-0.008119084
1583283247337,-0.012795963,-0.0068901232,-0.003900364
1583283247388,0.019171711,-0.0010252832,-0.004823674
1583283247438,0.0013978411,-0.0035938504,-0.027316324
1583283247488,0.0023246242,0.006713414,-0.03433819
1583283247537,0.009146801,-0.004714024,-0.053486798
1583283247588,-0.0020620213,-0.003865398,-0.040340632
1583283247638,-0.02638065,-0.02541997,-0.0710965
1583283247687,-0.07096969,-0.038703904,-0.049788356
1583283247738,-0.042938273,-0.012113851,-0.034577914
1583283247787,-0.0015303097,-0.013919279,-0.034470223
1583283247837,-0.05317035,-0.021409608,-0.020221012
1583283247888,-0.019060928,-0.02511318,-0.050709132
1583283247937,0.024865776,-0.0021311822,-0.014713889
1583283247988,0.015355519,-0.0051064,-0.008583186
1583283248037,0.038064603,-0.011753386,-0.033488605
1583283248087,0.018889574,-0.034522634,-0.02585449
1583283248138,0.019710846,-0.034595873,-0.023051394
1583283248187,0.008604924,0.008757869,-0.023894131
1583283248237,-0.022383614,0.022128634,-0.02032154
1583283248288,0.04223787,0.034725066,0.00476847
1583283248337,0.024167886,0.013310587,0.012522602
1583283248387,0.075200275,0.01760537,0.033962768
1583283248438,0.049104225,0.01752512,0.017781802
1583283248487,0.03231605,0.011893192,0.004116777
1583283248537,0.031299442,0.0018371625,0.016375916
1583283248587,-0.02133527,-0.02084905,0.013724761
1583283248638,-0.07222913,-0.024357542,0.009317435
1583283248687,0.027299277,0.0030369735,0.004866081
1583283248738,-0.01537378,-0.009396836,0.011343937
1583283248788,-0.044232428,-0.012551583,-0.0038590836
1583283248838,-0.0022851233,0.005351824,-0.008575396
1583283248888,-0.04975067,-0.021523656,0.007087517
1583283248937,-0.07136093,-0.013208054,-0.0019642585
1583283248987,-0.013754539,0.006053568,0.004663504
1583283249037,-0.0850637,-0.020973139,-0.021887634
1583283249087,0.014930884,0.007883053,0.0015508235
1583283249138,0.017695481,0.010632494,-0.0043048034
1583283249188,-0.0060588284,-0.0011709984,0.013957776
1583283249238,-0.03587264,0.0018217594,0.011888731
1583283249288,0.0046848883,0.0040405774,0.009123478
1583283249337,-0.004170833,0.006274552,0.015691774
1583283249388,0.013097314,0.004523619,0.02115252
1583283249437,-0.038973086,-0.007099304,0.02405728
1583283249488,0.0118753845,-0.0045667733,-8.378085E-4
1583283249537,-0.009302718,0.003161347,0.017440915
1583283249587,0.0025151172,0.0062818867,-0.0023949738
1583283249637,-0.030694759,-0.014404364,-0.009304682
1583283249688,0.01743634,0.009052454,-0.0014962575
1583283249737,-0.0012013016,-0.0041877567,-0.0011553338
1583283249788,0.01502519,0.004527544,0.013193926
1583283249837,-0.016091013,-0.008129183,-0.0028719972
1583283249888,0.0013693306,0.006633935,-0.0083477665
1583283249937,-0.0073985388,-0.0051786206,0.012479402
1583283249987,-0.006941899,0.0015140171,0.00861302
1583283250037,0.01226344,-1.3384409E-4,-0.019839056
1583283250088,-0.013412571,-0.012234952,-0.029989377
1583283250138,-0.006349403,0.0037172846,0.002949447
1583283250188,-0.016992966,-0.0043645655,-0.01186052
1583283250238,-0.022081034,0.003666352,-0.0020212797
1583283250287,-0.07989125,-0.022093115,-0.037939083
1583283250338,-0.039500494,-0.012752216,-0.033800073
1583283250387,-0.055245493,-0.014430756,-0.030993914
1583283250438,-0.006655485,-0.013201488,-0.016744725
1583283250488,-0.05280611,-0.02493652,-0.044357527
1583283250537,-0.028679006,-0.014242973,-0.017687397
1583283250588,-0.028589401,-0.012376279,-0.0070999423
1583283250637,0.02106189,-0.017347518,-0.011253195
1583283250687,-0.016625699,-0.0018802313,-0.0027940837
1583283250738,-0.009983347,-0.004457162,0.0010552946
1583283250787,-0.021940142,-0.010134367,0.0021952256
1583283250837,0.011804167,-0.0046046064,0.0025309166
1583283250887,0.01239849,0.0034143757,0.00550253
1583283250937,3.2137096E-4,0.010830352,-0.0027006804
1583283250988,-0.0024161986,-0.0036740056,-0.014964605
1583283251037,0.009978169,0.0042919847,0.017195309
1583283251088,-0.0021844883,-0.008862631,-0.009512008
1583283251137,6.396914E-4,-0.0012644264,0.008354476
1583283251188,-0.0120530175,0.0023709394,0.0046569663
1583283251237,0.009245869,0.012814369,0.019142618
1583283251288,-0.0031969394,-2.3369258E-4,-0.008363979
1583283251337,0.008658775,-0.0046588504,0.008403821
1583283251387,-0.021916766,0.010089532,0.005612329
1583283251437,0.015193087,0.0016347095,-0.020294514
1583283251487,0.0070559788,-0.008414688,0.0052740523
1583283251538,0.0028595352,0.0050751125,0.0068020453
1583283251588,-0.022047091,0.01473907,0.007095084
1583283251637,0.033727035,0.016560491,1.3563735E-4
1583283251688,0.018771933,-0.006774683,0.0026017562
1583283251737,-0.016547231,0.006552556,0.023769466
1583283251787,-0.030257381,0.0012284094,0.014461113
1583283251838,0.019456778,-0.0011913609,-0.011990804
1583283251888,-0.015938653,0.0035354942,0.0032350477
1583283251938,-0.010288587,0.003270703,0.0025309166
1583283251987,-0.0038427275,0.0033689912,0.007936601
1583283252038,-0.01195406,0.011109309,0.0056199296
1583283252088,0.003973142,-0.001150901,5.24641E-4
1583283252138,0.007160554,-0.0012367214,-0.0025316316
1583283252187,-0.014144509,-0.004979365,0.009561947
1583283252237,-0.023305371,0.010008679,0.026341392
1583283252287,0.015354966,0.0022457007,-0.012476409
1583283252337,-0.004170833,-5.8043003E-4,-0.001501502
1583283252387,-0.001377054,-0.0017264085,0.012383398
1583283252438,-0.009821081,0.0044134166,0.015324093
1583283252488,0.023104,0.010702422,0.01504918
1583283252537,0.014703886,0.0061821043,-1.7784745E-4
1583283252587,0.021035857,5.433089E-4,-0.005518004
1583283252637,-0.016949061,-0.009828037,-0.0037041565
1583283252687,0.005119939,0.020019611,0.005818222
1583283252738,0.032348305,0.010005305,-0.026782732
1583283252788,0.005039982,-0.0040112142,-0.008054325
1583283252837,-0.004911635,-0.004010455,-0.0061042057
1583283252888,0.001215551,3.3287797E-5,0.011915192
1583283252938,0.0033278787,-7.3928013E-4,-1.706644E-4
1583283252988,0.01671076,0.003397585,0.008502511
1583283253037,-0.004345154,-7.5189443E-4,0.0014659162
1583283253087,-0.0127547765,-0.0060646753,0.0063861483
1583283253138,-0.019908167,-0.004311184,-0.008339088
1583283253187,0.018960895,0.0022527515,-0.018769084
1583283253237,-0.018991364,1.783832E-4,0.007381627
1583283253287,0.008441772,0.0018712492,-0.0028362349
1583283253338,0.0080421725,-0.00666435,-0.008520183
1583283253387,0.02383888,-0.007978698,-0.008181507
1583283253437,0.0071516107,-0.0074374066,0.0141332485
1583283253488,0.013581438,-0.00811371,-0.0067269155
1583283253538,0.014623413,-0.008055007,-0.013242926
1583283253587,0.02592365,-0.0047518522,-0.015527582
1583283253637,-0.018121218,-0.024788467,0.028367147
1583283253687,-0.016664285,-0.008476613,0.025025101
1583283253738,-0.0059994487,-9.746663E-5,-0.0068339533
1583283253787,0.00927899,0.0027171143,-0.014535429
1583283253837,0.002292281,0.00210702,0.0042850454
1583283253888,-9.0405444E-4,0.0045472234,0.008368051
1583283253938,-2.8135028E-4,-0.0045292643,5.072267E-4
1583283253987,0.02844018,-0.008891918,-0.023865158
1583283254037,0.015640892,-0.007860897,-1.3510697E-4
1583283254088,-0.022881519,-4.267306E-4,0.002523946
1583283254137,0.001958096,0.00226304,-0.0051936843
1583283254187,-0.0030239504,0.0038529611,-0.019744014
1583283254238,0.009696065,0.0028276783,0.0024993871
1583283254287,0.0042397673,0.0043573836,-0.0012086723
1583283254338,0.012673862,-0.005354104,0.012941372
1583283254387,0.012145264,-1.1794688E-4,-0.0047635674
1583283254438,0.013083152,0.012770526,0.0035959166
1583283254488,-0.015616707,0.0047602956,-8.8522164E-4
1583283254538,0.0023448945,7.078564E-5,0.012509733
1583283254587,-0.015823793,0.010568129,0.006078116
1583283254637,0.016823908,0.01250992,0.009354945
1583283254687,0.013187674,-0.008025045,-0.008694382
1583283254737,-0.0027862298,0.009458907,0.020402722
1583283254787,-0.046917576,0.009111309,-0.006305685
1583283254838,0.0057463963,0.007955034,0.013946287
1583283254887,-0.013334103,0.00329678,0.0010107695
1583283254938,0.008523037,0.008519158,0.010362392
1583283254987,-0.008920344,0.0052965824,-0.0061478405
1583283255038,0.018255705,0.00979748,-0.0053085806
1583283255087,-0.010366749,-8.8282954E-4,0.0047819107
1583283255137,-0.010799215,0.011738839,0.02126057
1583283255187,-0.02877003,0.0069198934,0.023328973
1583283255238,0.024243802,0.0032315045,-0.0026494446
1583283255288,-0.011942827,8.1908656E-4,0.0011683828
1583283255337,-0.00633413,-2.5520567E-5,0.005407577
1583283255387,-0.021550441,-0.008163013,0.005615168
1583283255438,0.011804167,0.0020792312,-0.008472353
1583283255487,-0.014998125,-0.008163342,0.0014121714
1583283255537,-0.05187149,-0.021014983,0.0017686542
1583283255588,-0.036815245,0.0085909385,7.452844E-4
1583283255638,-0.024006039,0.002426908,-0.011100464
1583283255687,0.014147729,0.003009711,-2.480275E-5
1583283255737,-0.006824494,-0.0015947665,-0.0141481925
1583283255787,-0.007984294,-0.0027799448,0.0160642
1583283255838,0.007427882,0.0042459886,-0.005398441
1583283255887,0.009580103,0.0022948985,0.010957485
1583283255937,0.00477575,-0.003025073,0.0015413859
1583283255988,0.005689997,-0.0140995495,0.0022423128
